CÓD. AGENTE,FORNECEDOR,MÉDIA IQF,DATA
4951,"AMA ESTAGIOS, TREINAMENTO E DESENVOLVIMENTO PROFISSIONAL LTDA",10,2025-04-08 00:00:00
2850,AMPLA ENERGIA E SERVICOS S/A,100,2025-04-07 00:00:00
3450,ANA BEATRIZ RODRIGUES WILLEMEN TREINAMENTOS,97.5,2025-04-23 00:00:00
8353,ANA KELLY FERNANDES TAVARES,100,2025-04-10 00:00:00
8353,ANA KELLY FERNANDES TAVARES,100,2025-04-30 00:00:00
20856,ANA MARIA DE BASTOS E SILVA GASPAROTTO,60,2025-04-16 00:00:00
16308,ANDRADE  & SANTOS LOCAÇÃO DE MÓDULOS E IMPORTAÇÃO LTDA,100,2025-04-29 00:00:00
4309,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,100,2025-04-08 14:41:09
4309,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,100,2025-04-11 15:20:40
4309,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,96.25,2025-04-23 09:36:43
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,64.37,2025-04-10 10:43:06
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,64.37,2025-04-10 11:03:22
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,64.37,2025-04-14 10:41:13
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,64.37,2025-04-14 10:50:17
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,93.12,2025-04-17 16:54:40
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,83.12,2025-04-28 18:01:26
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,100,2025-04-28 18:08:26
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,100,2025-04-29 10:00:03
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,84.37,2025-04-29 11:05:48
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,84.37,2025-04-29 11:32:08
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,86.25,2025-04-29 11:36:35
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,84.37,2025-04-29 11:47:50
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,84.37,2025-04-29 11:56:16
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,77.25,2025-04-30 00:00:00
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,84.37,2025-04-30 08:12:49
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,84.37,2025-04-30 08:18:36
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,80,2025-04-30 08:34:24
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,80,2025-04-30 08:37:43
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,80,2025-04-30 08:55:03
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,80,2025-04-30 09:01:49
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,78.75,2025-04-30 10:03:08
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,80,2025-04-30 10:44:02
17955,ANHANGUERA COMERCIO DE FERRAMENTAS LTDA,84.37,2025-04-30 10:48:39
18961,ANTONIO CARLOS MARIN EIRELI ME,100,2025-04-25 13:19:05
8487,APC DISTRIBUIDORA DE TINTAS LTDA,80,2025-04-03 16:37:30
8487,APC DISTRIBUIDORA DE TINTAS LTDA,80,2025-04-24 00:00:00
8508,"APEFERR COMERCIO DE FERRAMENTAS, EPIS E MAQUINAS LTDA",100,2025-04-15 18:05:24
8508,"APEFERR COMERCIO DE FERRAMENTAS, EPIS E MAQUINAS LTDA",100,2025-04-15 18:15:27
8508,"APEFERR COMERCIO DE FERRAMENTAS, EPIS E MAQUINAS LTDA",100,2025-04-30 00:00:00
16688,ARAUCLIN - MEDICINA E SEGURANCA DO TRABALHO LTDA,100,2025-04-14 00:00:00
2936,ARMAZEM  OFFSHORE DE MACAE COMERCIAL E IMPORTADORA DE EQUIPAMENTOS PARA PETROLEO LTDA,80,2025-04-14 11:23:26
2936,ARMAZEM  OFFSHORE DE MACAE COMERCIAL E IMPORTADORA DE EQUIPAMENTOS PARA PETROLEO LTDA,80,2025-04-15 00:00:00
2936,ARMAZEM  OFFSHORE DE MACAE COMERCIAL E IMPORTADORA DE EQUIPAMENTOS PARA PETROLEO LTDA,94.37,2025-04-17 09:39:39
2936,ARMAZEM  OFFSHORE DE MACAE COMERCIAL E IMPORTADORA DE EQUIPAMENTOS PARA PETROLEO LTDA,94.37,2025-04-17 10:18:22
2936,ARMAZEM  OFFSHORE DE MACAE COMERCIAL E IMPORTADORA DE EQUIPAMENTOS PARA PETROLEO LTDA,92.5,2025-04-17 11:41:27
2936,ARMAZEM  OFFSHORE DE MACAE COMERCIAL E IMPORTADORA DE EQUIPAMENTOS PARA PETROLEO LTDA,94.37,2025-04-28 11:20:14
2936,ARMAZEM  OFFSHORE DE MACAE COMERCIAL E IMPORTADORA DE EQUIPAMENTOS PARA PETROLEO LTDA,90.62,2025-04-29 08:38:29
2936,ARMAZEM  OFFSHORE DE MACAE COMERCIAL E IMPORTADORA DE EQUIPAMENTOS PARA PETROLEO LTDA,89.02777777777777,2025-04-30 00:00:00
15668,ARMAZEM CORAL LTDA,100,2025-04-03 12:10:29
